Location;State;PUE;WUE;total space (m^2);water scarcity factor
Santa Clara;California;1.17;0.18;3325.9274;28.16
Columbus;Ohio;1.12;0.18;102007.494;28.16
Dublin;Ireland;1.1;0.18;42158.54527;22.21
Stockholm;Sweden;1.12;0.18;13470.935;3.58
Sydney;Australia;1.15;0.18;21367.69;4.6
